[A1,[A1_Low,[A1_High, B2, B2_Low, B2_High, C3, C3_Low, C3_High, A2, A2_Low, A2_High, B3, B3_Low, B3_High, A3, A3_Low, A3_High, C1, C1_Low, C1_High, B1, B1_Low, B1_High, C2], C2]_Low, C2]_High,[ADVISE,[ADVISE_Low,[ADVISE_High, TAKES, TAKES_Low, TAKES_High, VISIT], VISIT]_Low, VISIT]_High
79,0,1,NULL,NULL,NULL,NULL,NULL,NULL,87,0,1,NULL,NULL,NULL,11,0,1,NULL,NULL,NULL,87,0,1,NULL,NULL,NULL,0,0,1,1,0,1,0,0,1,
69,0.02475247524752475,0.9752475247524752,35,0,1,67,0.12376237623762375,0.8762376237623762,39,0,1,55,0.7178217821782177,0.28217821782178226,37,0,1,10,0,1,66,0.17326732673267325,0.8267326732673268,96,0,1,0,0,1,0,0,1,1,0,1,
66,0.17326732673267325,0.8267326732673268,24,0,1,8,0,1,86,0,1,54,0.7673267326732672,0.23267326732673277,66,0.17326732673267325,0.8267326732673268,6,0,1,82,0,1,3,0,1,0,0,1,1,0,1,0,0,1,
8,0,1,58,0.5693069306930693,0.4306930693069308,57,0.6188118811881187,0.38118811881188125,57,0.6188118811881187,0.38118811881188125,83,0,1,32,0,1,97,0,1,24,0,1,92,0,1,1,0,1,0,0,1,0,0,1,
11,0,1,81,0,1,81,0,1,35,0,1,37,0,1,27,0,1,47,0,1,27,0,1,53,0.8168316831683167,0.18316831683168328,0,0,1,1,0,1,0,0,1,
86,0,1,NULL,NULL,NULL,NULL,NULL,NULL,10,0,1,NULL,NULL,NULL,80,0,1,NULL,NULL,NULL,99,0,1,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
19,0,1,23,0,1,17,0,1,29,0,1,17,0,1,79,0,1,35,0,1,64,0.27227722772277224,0.7277227722772278,95,0,1,0,0,1,1,0,1,0,0,1,
34,0,1,NULL,NULL,NULL,NULL,NULL,NULL,43,0,1,NULL,NULL,NULL,34,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
24,0,1,82,0,1,NULL,NULL,NULL,56,0.6683168316831682,0.33168316831683176,NULL,NULL,NULL,63,0.32178217821782173,0.6782178217821783,NULL,NULL,NULL,1,0,1,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
92,0,1,52,0.8663366336633662,0.13366336633663378,12,0,1,20,0,1,48,0,1,69,0.02475247524752475,0.9752475247524752,82,0,1,61,0.4207920792079207,0.5792079207920793,69,0.02475247524752475,0.9752475247524752,0,0,1,0,0,1,1,0,1,
23,0,1,71,0,1,52,0.8663366336633662,0.13366336633663378,100,0,1,74,0,1,69,0.02475247524752475,0.9752475247524752,6,0,1,48,0,1,69,0.02475247524752475,0.9752475247524752,0,0,1,1,0,1,0,0,1,
67,0.12376237623762375,0.8762376237623762,24,0,1,21,0,1,44,0,1,20,0,1,5,0,1,4,0,1,77,0,1,10,0,1,1,0,1,0,0,1,0,0,1,
35,0,1,72,0,1,79,0,1,43,0,1,81,0,1,99,0,1,64,0.27227722772277224,0.7277227722772278,54,0.7673267326732672,0.23267326732673277,19,0,1,1,0,1,0,0,1,0,0,1,
37,0,1,49,0,1,NULL,NULL,NULL,41,0,1,57,0.6188118811881187,0.38118811881188125,67,0.12376237623762375,0.8762376237623762,94,0,1,87,0,1,18,0,1,0,0,1,1,0,1,0,0,1,
32,0,1,83,0,1,NULL,NULL,NULL,88,0,1,NULL,NULL,NULL,77,0,1,NULL,NULL,NULL,84,0,1,NULL,NULL,NULL,0,0,1,1,0,1,0,0,1,
15,0,1,10,0,1,NULL,NULL,NULL,63,0.32178217821782173,0.6782178217821783,NULL,NULL,NULL,26,0,1,NULL,NULL,NULL,91,0,1,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
71,0,1,78,0,1,92,0,1,0,0,1,80,0,1,97,0,1,3,0,1,84,0,1,65,0.22277227722772275,0.7772277227722773,1,0,1,0,0,1,0,0,1,
70,0,1,98,0,1,78,0,1,44,0,1,49,0,1,39,0,1,6,0,1,9,0,1,28,0,1,0,0,1,0,0,1,1,0,1,
21,0,1,21,0,1,0,0,1,14,0,1,65,0.22277227722772275,0.7772277227722773,5,0,1,51,0.9158415841584158,0.08415841584158429,7,0,1,74,0,1,0,0,1,0,0,1,1,0,1,
42,0,1,25,0,1,NULL,NULL,NULL,76,0,1,84,0,1,76,0,1,NULL,NULL,NULL,98,0,1,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
67,0.12376237623762375,0.8762376237623762,56,0.6683168316831682,0.33168316831683176,67,0.12376237623762375,0.8762376237623762,46,0,1,71,0,1,72,0,1,66,0.17326732673267325,0.8267326732673268,39,0,1,28,0,1,0,0,1,0,0,1,1,0,1,
47,0,1,68,0.07425742574257424,0.9257425742574258,NULL,NULL,NULL,21,0,1,14,0,1,5,0,1,7,0,1,22,0,1,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
19,0,1,43,0,1,NULL,NULL,NULL,75,0,1,3,0,1,52,0.8663366336633662,0.13366336633663378,NULL,NULL,NULL,16,0,1,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
8,0,1,94,0,1,32,0,1,83,0,1,68,0.07425742574257424,0.9257425742574258,69,0.02475247524752475,0.9752475247524752,87,0,1,2,0,1,45,0,1,1,0,1,0,0,1,0,0,1,
97,0,1,80,0,1,NULL,NULL,NULL,6,0,1,49,0,1,93,0,1,NULL,NULL,NULL,94,0,1,NULL,NULL,NULL,0,0,1,1,0,1,0,0,1,
57,0.6188118811881187,0.38118811881188125,5,0,1,57,0.6188118811881187,0.38118811881188125,48,0,1,86,0,1,46,0,1,88,0,1,98,0,1,77,0,1,0,0,1,0,0,1,1,0,1,
83,0,1,NULL,NULL,NULL,NULL,NULL,NULL,68,0.07425742574257424,0.9257425742574258,NULL,NULL,NULL,75,0,1,NULL,NULL,NULL,32,0,1,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
96,0,1,NULL,NULL,NULL,NULL,NULL,NULL,30,0,1,NULL,NULL,NULL,55,0.7178217821782177,0.28217821782178226,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
36,0,1,8,0,1,36,0,1,89,0,1,54,0.7673267326732672,0.23267326732673277,29,0,1,82,0,1,63,0.32178217821782173,0.6782178217821783,37,0,1,1,0,1,0,0,1,0,0,1,
45,0,1,NULL,NULL,NULL,NULL,NULL,NULL,43,0,1,NULL,NULL,NULL,76,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,1,0,1,0,0,1,
26,0,1,83,0,1,33,0,1,64,0.27227722772277224,0.7277227722772278,43,0,1,28,0,1,22,0,1,74,0,1,75,0,1,0,0,1,0,0,1,1,0,1,
61,0.4207920792079207,0.5792079207920793,67,0.12376237623762375,0.8762376237623762,31,0,1,2,0,1,71,0,1,46,0,1,46,0,1,25,0,1,20,0,1,0,0,1,1,0,1,0,0,1,
12,0,1,88,0,1,96,0,1,39,0,1,71,0,1,30,0,1,22,0,1,44,0,1,88,0,1,1,0,1,0,0,1,0,0,1,
75,0,1,NULL,NULL,NULL,NULL,NULL,NULL,95,0,1,NULL,NULL,NULL,77,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
8,0,1,24,0,1,60,0.4702970297029702,0.5297029702970297,26,0,1,98,0,1,20,0,1,49,0,1,38,0,1,9,0,1,0,0,1,0,0,1,1,0,1,
6,0,1,55,0.7178217821782177,0.28217821782178226,NULL,NULL,NULL,61,0.4207920792079207,0.5792079207920793,96,0,1,21,0,1,17,0,1,60,0.4702970297029702,0.5297029702970297,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
62,0.37128712871287123,0.6287128712871287,40,0,1,63,0.32178217821782173,0.6782178217821783,100,0,1,81,0,1,70,0,1,67,0.12376237623762375,0.8762376237623762,28,0,1,12,0,1,0,0,1,1,0,1,0,0,1,
15,0,1,73,0,1,92,0,1,100,0,1,80,0,1,88,0,1,93,0,1,65,0.22277227722772275,0.7772277227722773,9,0,1,0,0,1,0,0,1,1,0,1,
92,0,1,36,0,1,NULL,NULL,NULL,5,0,1,8,0,1,44,0,1,NULL,NULL,NULL,86,0,1,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
92,0,1,80,0,1,16,0,1,39,0,1,85,0,1,65,0.22277227722772275,0.7772277227722773,99,0,1,49,0,1,8,0,1,1,0,1,0,0,1,0,0,1,
81,0,1,NULL,NULL,NULL,NULL,NULL,NULL,28,0,1,NULL,NULL,NULL,82,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,1,0,1,0,0,1,
30,0,1,46,0,1,39,0,1,50,0.9653465346534652,0.03465346534653479,68,0.07425742574257424,0.9257425742574258,18,0,1,83,0,1,55,0.7178217821782177,0.28217821782178226,40,0,1,0,0,1,0,0,1,1,0,1,
80,0,1,40,0,1,NULL,NULL,NULL,94,0,1,NULL,NULL,NULL,90,0,1,NULL,NULL,NULL,78,0,1,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
42,0,1,88,0,1,14,0,1,6,0,1,12,0,1,53,0.8168316831683167,0.18316831683168328,3,0,1,96,0,1,51,0.9158415841584158,0.08415841584158429,0,0,1,1,0,1,0,0,1,
24,0,1,31,0,1,NULL,NULL,NULL,6,0,1,38,0,1,49,0,1,72,0,1,57,0.6188118811881187,0.38118811881188125,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
70,0,1,34,0,1,61,0.4207920792079207,0.5792079207920793,11,0,1,97,0,1,14,0,1,3,0,1,93,0,1,96,0,1,1,0,1,0,0,1,0,0,1,
75,0,1,NULL,NULL,NULL,NULL,NULL,NULL,52,0.8663366336633662,0.13366336633663378,NULL,NULL,NULL,2,0,1,NULL,NULL,NULL,76,0,1,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
56,0.6683168316831682,0.33168316831683176,66,0.17326732673267325,0.8267326732673268,69,0.02475247524752475,0.9752475247524752,78,0,1,57,0.6188118811881187,0.38118811881188125,48,0,1,95,0,1,37,0,1,73,0,1,0,0,1,1,0,1,0,0,1,
75,0,1,35,0,1,NULL,NULL,NULL,16,0,1,10,0,1,58,0.5693069306930693,0.4306930693069308,71,0,1,31,0,1,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
31,0,1,40,0,1,51,0.9158415841584158,0.08415841584158429,67,0.12376237623762375,0.8762376237623762,61,0.4207920792079207,0.5792079207920793,4,0,1,70,0,1,93,0,1,89,0,1,0,0,1,0,0,1,1,0,1,
88,0,1,NULL,NULL,NULL,NULL,NULL,NULL,93,0,1,NULL,NULL,NULL,71,0,1,NULL,NULL,NULL,69,0.02475247524752475,0.9752475247524752,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
30,0,1,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,NULL,NULL,NULL,45,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,1,0,1,0,0,1,
86,0,1,NULL,NULL,NULL,NULL,NULL,NULL,63,0.32178217821782173,0.6782178217821783,NULL,NULL,NULL,23,0,1,NULL,NULL,NULL,21,0,1,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
63,0.32178217821782173,0.6782178217821783,82,0,1,84,0,1,29,0,1,35,0,1,52,0.8663366336633662,0.13366336633663378,17,0,1,42,0,1,81,0,1,0,0,1,1,0,1,0,0,1,
99,0,1,36,0,1,NULL,NULL,NULL,52,0.8663366336633662,0.13366336633663378,29,0,1,64,0.27227722772277224,0.7277227722772278,33,0,1,9,0,1,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
97,0,1,8,0,1,NULL,NULL,NULL,89,0,1,NULL,NULL,NULL,36,0,1,NULL,NULL,NULL,97,0,1,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
88,0,1,43,0,1,89,0,1,30,0,1,91,0,1,99,0,1,10,0,1,13,0,1,39,0,1,0,0,1,1,0,1,0,0,1,
45,0,1,NULL,NULL,NULL,NULL,NULL,NULL,72,0,1,NULL,NULL,NULL,69,0.02475247524752475,0.9752475247524752,NULL,NULL,NULL,28,0,1,NULL,NULL,NULL,0,0,1,1,0,1,0,0,1,
43,0,1,NULL,NULL,NULL,NULL,NULL,NULL,98,0,1,NULL,NULL,NULL,100,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
87,0,1,48,0,1,14,0,1,5,0,1,86,0,1,31,0,1,41,0,1,72,0,1,38,0,1,0,0,1,0,0,1,1,0,1,
28,0,1,69,0.02475247524752475,0.9752475247524752,NULL,NULL,NULL,25,0,1,5,0,1,64,0.27227722772277224,0.7277227722772278,NULL,NULL,NULL,17,0,1,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
4,0,1,15,0,1,62,0.37128712871287123,0.6287128712871287,21,0,1,51,0.9158415841584158,0.08415841584158429,3,0,1,32,0,1,79,0,1,31,0,1,1,0,1,0,0,1,0,0,1,
64,0.27227722772277224,0.7277227722772278,NULL,NULL,NULL,NULL,NULL,NULL,48,0,1,NULL,NULL,NULL,65,0.22277227722772275,0.7772277227722773,NULL,NULL,NULL,72,0,1,NULL,NULL,NULL,0,0,1,1,0,1,0,0,1,
5,0,1,87,0,1,NULL,NULL,NULL,9,0,1,27,0,1,94,0,1,60,0.4702970297029702,0.5297029702970297,52,0.8663366336633662,0.13366336633663378,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
49,0,1,19,0,1,NULL,NULL,NULL,10,0,1,60,0.4702970297029702,0.5297029702970297,9,0,1,NULL,NULL,NULL,13,0,1,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
50,0.9653465346534652,0.03465346534653479,3,0,1,26,0,1,66,0.17326732673267325,0.8267326732673268,68,0.07425742574257424,0.9257425742574258,8,0,1,9,0,1,90,0,1,13,0,1,1,0,1,0,0,1,0,0,1,
63,0.32178217821782173,0.6782178217821783,22,0,1,16,0,1,12,0,1,81,0,1,68,0.07425742574257424,0.9257425742574258,21,0,1,66,0.17326732673267325,0.8267326732673268,42,0,1,0,0,1,0,0,1,1,0,1,
46,0,1,100,0,1,4,0,1,70,0,1,55,0.7178217821782177,0.28217821782178226,35,0,1,9,0,1,21,0,1,19,0,1,0,0,1,1,0,1,0,0,1,
45,0,1,39,0,1,89,0,1,30,0,1,56,0.6683168316831682,0.33168316831683176,83,0,1,25,0,1,16,0,1,38,0,1,0,0,1,0,0,1,1,0,1,
41,0,1,90,0,1,NULL,NULL,NULL,39,0,1,NULL,NULL,NULL,88,0,1,NULL,NULL,NULL,91,0,1,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
41,0,1,14,0,1,51,0.9158415841584158,0.08415841584158429,56,0.6683168316831682,0.33168316831683176,95,0,1,86,0,1,40,0,1,41,0,1,60,0.4702970297029702,0.5297029702970297,0,0,1,1,0,1,0,0,1,
94,0,1,48,0,1,75,0,1,88,0,1,75,0,1,73,0,1,82,0,1,62,0.37128712871287123,0.6287128712871287,56,0.6683168316831682,0.33168316831683176,0,0,1,0,0,1,1,0,1,
92,0,1,42,0,1,NULL,NULL,NULL,37,0,1,NULL,NULL,NULL,64,0.27227722772277224,0.7277227722772278,NULL,NULL,NULL,53,0.8168316831683167,0.18316831683168328,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
37,0,1,NULL,NULL,NULL,NULL,NULL,NULL,25,0,1,NULL,NULL,NULL,55,0.7178217821782177,0.28217821782178226,NULL,NULL,NULL,35,0,1,NULL,NULL,NULL,0,0,1,1,0,1,0,0,1,
19,0,1,5,0,1,56,0.6683168316831682,0.33168316831683176,47,0,1,37,0,1,36,0,1,53,0.8168316831683167,0.18316831683168328,33,0,1,45,0,1,0,0,1,0,0,1,1,0,1,
56,0.6683168316831682,0.33168316831683176,78,0,1,NULL,NULL,NULL,73,0,1,79,0,1,8,0,1,15,0,1,100,0,1,46,0,1,1,0,1,0,0,1,0,0,1,
26,0,1,23,0,1,NULL,NULL,NULL,87,0,1,NULL,NULL,NULL,3,0,1,NULL,NULL,NULL,13,0,1,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
99,0,1,72,0,1,61,0.4207920792079207,0.5792079207920793,85,0,1,96,0,1,65,0.22277227722772275,0.7772277227722773,76,0,1,53,0.8168316831683167,0.18316831683168328,48,0,1,0,0,1,0,0,1,1,0,1,
71,0,1,88,0,1,NULL,NULL,NULL,91,0,1,60,0.4702970297029702,0.5297029702970297,71,0,1,NULL,NULL,NULL,80,0,1,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
70,0,1,NULL,NULL,NULL,NULL,NULL,NULL,28,0,1,NULL,NULL,NULL,74,0,1,NULL,NULL,NULL,80,0,1,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
31,0,1,0,0,1,82,0,1,21,0,1,41,0,1,72,0,1,93,0,1,32,0,1,12,0,1,1,0,1,0,0,1,0,0,1,
70,0,1,11,0,1,7,0,1,4,0,1,32,0,1,79,0,1,6,0,1,19,0,1,88,0,1,0,0,1,1,0,1,0,0,1,
90,0,1,83,0,1,97,0,1,94,0,1,19,0,1,100,0,1,32,0,1,96,0,1,50,0.9653465346534652,0.03465346534653479,1,0,1,0,0,1,0,0,1,
4,0,1,42,0,1,NULL,NULL,NULL,5,0,1,39,0,1,62,0.37128712871287123,0.6287128712871287,9,0,1,24,0,1,14,0,1,0,0,1,1,0,1,0,0,1,
83,0,1,57,0.6188118811881187,0.38118811881188125,68,0.07425742574257424,0.9257425742574258,25,0,1,10,0,1,24,0,1,83,0,1,93,0,1,86,0,1,0,0,1,0,0,1,1,0,1,
70,0,1,NULL,NULL,NULL,NULL,NULL,NULL,67,0.12376237623762375,0.8762376237623762,NULL,NULL,NULL,42,0,1,NULL,NULL,NULL,85,0,1,NULL,NULL,NULL,1,0,1,0,0,1,0,0,1,
37,0,1,7,0,1,NULL,NULL,NULL,57,0.6188118811881187,0.38118811881188125,90,0,1,68,0.07425742574257424,0.9257425742574258,NULL,NULL,NULL,50,0.9653465346534652,0.03465346534653479,NULL,NULL,NULL,0,0,1,0,0,1,1,0,1,
40,0,1,90,0,1,98,0,1,86,0,1,4,0,1,35,0,1,3,0,1,97,0,1,87,0,1,0,0,1,1,0,1,0,0,1,
